id,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,name_sentiment,description_length,description_sentiment,neighborhood_overview_length,neighborhood_overview_sentiment,host_name_first_letter,predicted_gender,host_about_length,host_about_sentiment,same_neighbourhood,bathrooms_number,bathrooms_type,amenities_count
16350016,0.0,102064815.0,2225.0,4.0,100.0,99.0,2.0,2.0,3.0,1.0,1.0,52.35963,4.86931,12.0,0.0,2.0,1.0,1.0,176.0,3.0,31.0,2.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,4.0,25.0,40.0,155.0,341.0,55.0,6.0,2164.0,8.0,4.89,4.94,4.98,4.91,4.96,4.93,4.72,0.0,2.0,2.0,0.0,0.0,4.73,34.0,0.0,1000.0,4.81969696969697,500.0,3.716666666666667,11.0,0.0,59.0,-0.16666666666666666,0.0,1.0,1.0,19.0
16355117,0.0,19094953.0,3051.0,3.0,90.0,10.0,1.0,2.0,2.0,1.0,1.0,52.35332,4.85664,12.0,0.0,3.0,1.0,3.0,130.0,9.0,700.0,9.0,9.0,700.0,700.0,9.0,700.0,1.0,20.0,50.0,80.0,80.0,22.0,1.0,0.0,1876.0,310.0,4.86,4.91,4.86,4.95,4.95,5.0,4.86,0.0,2.0,2.0,0.0,0.0,0.35,28.0,0.0,837.0,1.9,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0
16374467,1.0,107248677.0,2182.0,0.0,100.0,100.0,1.0,2.0,2.0,1.0,1.0,52.36066,4.87167,12.0,0.0,4.0,1.0,4.0,202.0,2.0,21.0,2.0,2.0,21.0,21.0,2.0,21.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,2164.0,1120.0,4.72,4.53,4.42,4.92,4.92,4.67,4.22,0.0,2.0,2.0,0.0,0.0,0.51,31.0,1.0,773.0,5.144444444444446,193.0,0.2,19.0,2.0,0.0,0.0,0.0,1.0,1.0,23.0
16388616,0.0,72546470.0,2393.0,4.0,100.0,100.0,2.0,2.0,3.0,1.0,1.0,52.38122,4.87973,31.0,2.0,2.0,1.0,1.0,143.0,3.0,90.0,1.0,4.0,1.0,1125.0,3.1,940.3,1.0,3.0,24.0,46.0,64.0,131.0,29.0,3.0,2164.0,8.0,4.63,4.73,4.72,4.85,4.76,4.84,4.44,1.0,2.0,0.0,2.0,0.0,1.82,46.0,0.0,1000.0,6.852380952380952,1000.0,9.35,20.0,1.0,345.0,1.875,0.0,1.0,1.0,26.0
16389105,0.0,72546470.0,2393.0,4.0,100.0,100.0,2.0,2.0,3.0,1.0,1.0,52.38101,4.87982,31.0,2.0,2.0,1.0,1.0,182.0,3.0,90.0,1.0,4.0,1.0,90.0,3.1,76.3,1.0,1.0,23.0,48.0,62.0,170.0,55.0,1.0,2168.0,25.0,4.74,4.81,4.76,4.88,4.89,4.81,4.56,1.0,2.0,0.0,2.0,0.0,2.35,45.0,0.0,1000.0,6.116666666666666,1000.0,9.35,20.0,1.0,345.0,1.875,0.0,1.0,1.0,27.0
16391366,0.0,107372728.0,2181.0,4.0,100.0,100.0,2.0,1.0,1.0,1.0,1.0,52.38351,4.88487,12.0,0.0,2.0,1.0,2.0,236.0,4.0,28.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,1.0,13.0,31.0,43.0,81.0,66.0,9.0,2.0,2164.0,11.0,5.0,4.98,4.97,5.0,4.97,4.95,4.76,1.0,1.0,1.0,0.0,0.0,0.91,50.0,0.0,1000.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0
16400107,1.0,25381221.0,2897.0,2.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,52.34508,4.86093,12.0,0.0,4.0,1.0,3.0,230.0,5.0,1125.0,3.0,5.0,1125.0,1125.0,4.7,1125.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2168.0,48.0,4.93,5.0,5.0,4.93,5.0,4.8,4.87,1.0,1.0,1.0,0.0,0.0,0.21,48.0,0.8750000000000001,597.0,2.16969696969697,112.0,1.475,10.0,2.0,0.0,0.0,0.0,1.5,1.0,41.0
16400436,0.0,107445003.0,2180.0,4.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,52.37478,4.84431,12.0,0.0,2.0,1.0,1.0,200.0,3.0,7.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,19.0,49.0,79.0,79.0,5.0,3.0,1.0,1132.0,20.0,4.6,4.2,5.0,5.0,5.0,4.6,4.4,0.0,1.0,1.0,0.0,0.0,0.13,28.0,0.2,1000.0,3.706060606060606,363.0,1.6363636363636362,22.0,0.0,348.0,2.436363636363636,1.0,1.0,1.0,12.0
16401179,0.0,107448990.0,2180.0,4.0,100.0,100.0,1.0,2.0,3.0,1.0,1.0,52.38011,4.89189,19.0,2.0,2.0,1.0,1.0,147.0,1.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,7.0,15.0,24.0,97.0,90.0,3.0,1.0,2166.0,9.0,4.54,4.46,4.66,4.46,4.55,4.93,4.42,1.0,2.0,1.0,1.0,0.0,1.25,54.0,0.0,1000.0,9.949393939393941,704.0,5.826666666666666,13.0,2.0,79.0,0.13636363636363635,0.0,1.0,1.0,13.0
16401807,0.0,107448990.0,2180.0,4.0,100.0,100.0,1.0,2.0,3.0,1.0,1.0,52.38005,4.8919,12.0,0.0,2.0,1.0,1.0,137.0,1.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,5.0,25.0,43.0,153.0,269.0,67.0,5.0,2168.0,9.0,4.56,4.7,4.59,4.63,4.68,4.94,4.45,1.0,2.0,1.0,1.0,0.0,3.72,47.0,-0.19999999999999998,1000.0,5.053030303030303,699.0,5.826666666666666,13.0,2.0,79.0,0.13636363636363635,0.0,1.0,1.0,14.0
